>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PJSD706_Shinonome.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PRSD106_Pr_30_Ognevoy.B_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PJSB708_Hiei_Arpeggio.B_Hull_1941.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PJSB708_Hiei_Arpeggio.C_Hull_1942.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PASD019_Clemson_1920.A_Hull_1920.visibilityCoefGK changed in second object (was 3.06, is 1e-06)
root.PASD019_Clemson_1920.B_Hull_1930.visibilityCoefGK changed in second object (was 3.06, is 1e-06)
root.PASB001_Michigan_1916.A_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PASB001_Michigan_1916.B_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PGSC508_Prinz_Eugen.A_Hull.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PJSC018_Tone.HullDefault.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PISC506_DucadAosta.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PRSC110_Pr_66_Moskva.A_Hull.visibilityCoefGK changed in second object (was 6.6, is 1e-06)
root.PZSD108_Hsien_Yang.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PZSD108_Hsien_Yang.B_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PRSB001_Nikolay_I.HullDefault.visibilityCoefGK changed in second object (was 9.1, is 1e-06)
root.PGSC002_Drezden_1908.A_Hull_1908.visibilityCoefGK changed in second object (was 3.15, is 1e-06)
root.PGSC002_Drezden_1908.B_Hull_1916.visibilityCoefGK changed in second object (was 3.15, is 1e-06)
root.PGSD506_T_61.A_Hull.visibilityCoefGK changed in second object (was 3.84, is 1e-06)
root.PJSD002_Umikaze_1925.A_Hull_1911.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PJSD002_Umikaze_1925.B_Hull_1918.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PJSB010_Nagato_1944.A_Hull_1941.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PJSB010_Nagato_1944.B_Hull_1944.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PASD002_Sampson_1917.A_Hull_1917.visibilityCoefGK changed in second object (was 3.06, is 1e-06)
root.PASD002_Sampson_1917.B_Hull_1931.visibilityCoefGK changed in second object (was 3.06, is 1e-06)
root.PBSD605_Anthony_Event.A_Hull.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PFSC106_La_Galissonniere.B_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PFSC106_La_Galissonniere.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PRSD210_Grozovoy_pr_40N.A_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PAPA073_406MM_HE_MISSOURI.costCR changed in second object (was 150, is 250)
root.PASB917_Montana_1945.HullDefault.visibilityCoefGK changed in second object (was 12.18, is 1e-06)
root.PFSC109_Saint_Louis.A_Hull.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PFSC109_Saint_Louis.B_Hull.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PXSD001_VanHellsink.A_Hull.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PASC805_FALSE_ENEMY_Erie_1936.A_Hull_1936.visibilityCoefGK changed in second object (was 6.0, is 1e-06)
root.PRSD109_Pr_48_Kiev.A_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PRSD109_Pr_48_Kiev.B_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PJSC009_Mogami_1935.B_Hull_1943.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC009_Mogami_1935.C_Hull_1944.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC009_Mogami_1935.A_Hull_1935.visibilityCoefGK changed in second object (was 4.65, is 1e-06)
root.PRSC002_Diana_1905.HullDefault.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PXSC001_Dr_Frankenship.HullDefault.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PJSC008_Myoko_1945.A_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC008_Myoko_1945.B_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC008_Myoko_1945.C_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PRSD104_Izyaslav.B_Hull.visibilityCoefGK changed in second object (was 4.06, is 1e-06)
root.PRSD104_Izyaslav.A_Hull.visibilityCoefGK changed in second object (was 4.06, is 1e-06)
root.PGSD110_Z_52.A_Hull.visibilityCoefGK changed in second object (was 7.31, is 1e-06)
root.PGSC108_Hipper.A_Hull.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PGSC108_Hipper.B_Hull.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PGSC108_Hipper.C_Hull.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PXSD007_Scnellboot_S38.A_Hull.visibilityCoefGK changed in second object (was 6.65, is 1e-06)
root.PASC002_Chester_1908.A_Hull_1908.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PASC002_Chester_1908.B_Hull_1917.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PJSD012_Shimakaze_1943.B_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PXSB004_Tirpiz_1942_H2017.HullDefault.visibilityCoefGK changed in second object (was 11.4, is 1e-06)
root.PJSC005_Furutaka_1926.B_Hull_1941.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PJSC005_Furutaka_1926.A_Hull_1929.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PJSC005_Furutaka_1926.C_Hull_1942.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PGSB107_Gneisenau.B_Hull.visibilityCoefGK changed in second object (was 11.4, is 1e-06)
root.PGSB107_Gneisenau.A_Hull.visibilityCoefGK changed in second object (was 11.4, is 1e-06)
root.PRSC910_Pr_66_Moskva.A_Hull.visibilityCoefGK changed in second object (was 6.6, is 1e-06)
root.PJSC026_Iwaki_1944.A_Hull.visibilityCoefGK changed in second object (was 4.2, is 1e-06)
root.PGSC910_Hindenburg.HullDefault.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PZSD104_Shen_Yang.B_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PZSD104_Shen_Yang.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PJSC007_Aoba_1943.A_Hull_1942.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC007_Aoba_1943.B_Hull_1943.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PASC003_Albany_1898.HullDefault.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PGSB104_Kaiser.A_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PGSB104_Kaiser.B_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PJSB918_Yamato_1944.HullDefault.visibilityCoefGK changed in second object (was 13.8, is 1e-06)
root.PBSB106_Queen_Elizabeth.A_Hull.visibilityCoefGK changed in second object (was 11.43, is 1e-06)
root.PBSB106_Queen_Elizabeth.B_Hull.visibilityCoefGK changed in second object (was 11.43, is 1e-06)
root.PJSC934_Zao_1944.HullDefault.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PGSB108_Bismarck.A_Hull.visibilityCoefGK changed in second object (was 11.4, is 1e-06)
root.PGSB108_Bismarck.B_Hull.visibilityCoefGK changed in second object (was 11.4, is 1e-06)
root.PZSD102_Long_Jiang.B_Hull.visibilityCoefGK changed in second object (was 3.15, is 1e-06)
root.PZSD102_Long_Jiang.A_Hull.visibilityCoefGK changed in second object (was 3.15, is 1e-06)
root.PRSC503_Oleg.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PASC007_Cleveland_1945.A_Hull_1943.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PASC007_Cleveland_1945.B_Hull_1945.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PBSC107_Fiji.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PBSC107_Fiji.B_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PBSB910_Conqueror.A_Hull.visibilityCoefGK changed in second object (was 13.71, is 1e-06)
root.PZSD105_Jian_Wei.B_Hull.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PZSD105_Jian_Wei.A_Hull.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PRSD505_Okhotnik_1917.A_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PJSD004_Minekadze_1920.A_Hull_1920.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PJSD004_Minekadze_1920.B_Hull_1938.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PJSD105_Mutsuki.A_Hull_1942.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PJSD105_Mutsuki.B_Hull_1942.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PJSB008_Ishizuchi_1921.HullDefault.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PASC803_Cimarron_shooter.HullDefault.visibilityCoefGK changed in second object (was 10.0, is 1e-06)
root.PJSB507_Ashitaka.A_Hull_1926.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PGSD108_Z_23.A_Hull.visibilityCoefGK changed in second object (was 8.0, is 1e-06)
root.PGSD108_Z_23.B_Hull.visibilityCoefGK changed in second object (was 8.0, is 1e-06)
root.PJSD014_Tachibana_1912_Asus.A_Hull_1912.visibilityCoefGK changed in second object (was 2.28, is 1e-06)
root.PASC012_Pensacola_1944.B_Hull_1944.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PASC012_Pensacola_1944.A_Hull_1942.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PRSC109_Dmitry_Donskoy.A_Hull.visibilityCoefGK changed in second object (was 5.4, is 1e-06)
root.PRSC109_Dmitry_Donskoy.B_Hull.visibilityCoefGK changed in second object (was 5.4, is 1e-06)
root.PRSC109_Dmitry_Donskoy.C_Hull.visibilityCoefGK changed in second object (was 5.4, is 1e-06)
root.PGSB105_Koenig.B_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PGSB105_Koenig.A_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PGSB105_Koenig.C_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PBSC109_Neptune.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PBSC109_Neptune.B_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PJSD912_Shimakaze_1943.B_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PFSC110_Henri_IV.A_Hull.visibilityCoefGK changed in second object (was 7.2, is 1e-06)
root.PJSB011_Mikasa_1905.HullDefault.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PJSC717_Yellow_Dragon.A_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC717_Yellow_Dragon.B_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC717_Yellow_Dragon.C_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PXSC002_Charles_Martel_H2017.A_Hull.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PJSB707_Haruna.B_Hull_1941.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PJSB707_Haruna.C_Hull_1942.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PJSD207_Shiratsuyu.B_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PJSD207_Shiratsuyu.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PGSB110_Grossdeutschland.A_Hull.visibilityCoefGK changed in second object (was 12.18, is 1e-06)
root.PRSD206_Pr_7.A_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PRSD206_Pr_7.B_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PGSD106_Ernst_Gaede.B_Hull.visibilityCoefGK changed in second object (was 8.0, is 1e-06)
root.PGSD106_Ernst_Gaede.A_Hull.visibilityCoefGK changed in second object (was 8.0, is 1e-06)
root.PJSB013_Amagi_1942.A_Hull_1941.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PJSB013_Amagi_1942.B_Hull_1944.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PASD502_Smith.A_Hull.visibilityCoefGK changed in second object (was 2.28, is 1e-06)
root.PWSD501_Blyskawica.HullDefault.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PFSC103_Friant.B_Hull.visibilityCoefGK changed in second object (was 4.17, is 1e-06)
root.PFSC103_Friant.A_Hull.visibilityCoefGK changed in second object (was 4.17, is 1e-06)
root.PRSC107_Schors.B_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PRSC107_Schors.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PASC020_Des_Moines_1948.HullDefault.visibilityCoefGK changed in second object (was 6.09, is 1e-06)
root.PASC804_FALSE_ENEMY_Erie_1936.A_Hull_1936.visibilityCoefGK changed in second object (was 10.0, is 1e-06)
root.PZSD506_Anshan.A_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PJSB801_False_Kawachi_1912.A_Hull_1912.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PJSB801_False_Kawachi_1912.B_Hull_1919.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PJSD017_Kamikaze_1930.HullDefault.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PJSC037_Hashidate_1940.A_Hull.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PASC024_Phoenix_1917.C_Hull_1938.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PASC024_Phoenix_1917.B_Hull_1924.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PASC024_Phoenix_1917.A_Hull_1917.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PZSD508_LoYang.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PRSD102_SM_Storojevoy.B_Hull.visibilityCoefGK changed in second object (was 4.06, is 1e-06)
root.PRSD102_SM_Storojevoy.A_Hull.visibilityCoefGK changed in second object (was 4.06, is 1e-06)
root.PCBX017.hull.visibilityCoefGK changed in second object (was 12, is 1e-06)
root.PCBX015.hull.visibilityCoefGK changed in second object (was 14, is 1e-06)
root.PCBX014.hull.visibilityCoefGK changed in second object (was 14, is 1e-06)
root.PCBX013.hull.visibilityCoefGK changed in second object (was 4, is 1e-06)
root.PCBX012.hull.visibilityCoefGK changed in second object (was 14, is 1e-06)
root.PCBX011.hull.visibilityCoefGK changed in second object (was 14, is 1e-06)
root.PCBX010.hull.visibilityCoefGK changed in second object (was 12, is 1e-06)
root.PCBX019.hull.visibilityCoefGK changed in second object (was 12, is 1e-06)
root.PCBX018.hull.visibilityCoefGK changed in second object (was 12, is 1e-06)
root.PRSC001_Avrora_1917.HullDefault.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PBSB108_Monarch.A_Hull.visibilityCoefGK changed in second object (was 11.43, is 1e-06)
root.PBSB108_Monarch.B_Hull.visibilityCoefGK changed in second object (was 11.43, is 1e-06)
root.PASC802_Cimarron_Target.HullDefault.visibilityCoefGK changed in second object (was 6.0, is 1e-06)
root.PRSC105_Kirov.A_Hull.visibilityCoefGK changed in second object (was 5.4, is 1e-06)
root.PRSC105_Kirov.B_Hull.visibilityCoefGK changed in second object (was 5.4, is 1e-06)
root.PRSB505_Oktyabrskaya_Revolutsiya.A_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PRSD108_Pr_20i_Tashkent.B_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PRSD108_Pr_20i_Tashkent.A_Hull.visibilityCoefGK changed in second object (was 5.9, is 1e-06)
root.PGSC103_Kolberg.B_Hull.visibilityCoefGK changed in second object (was 3.15, is 1e-06)
root.PGSC103_Kolberg.A_Hull.visibilityCoefGK changed in second object (was 3.15, is 1e-06)
root.PISB505_Giulio_Cesare.A_Hull.visibilityCoefGK changed in second object (was 9.6, is 1e-06)
root.PASC001_Erie_1936.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PGSB503_Koenig_Albert.A_Hull.visibilityCoefGK changed in second object (was 9.15, is 1e-06)
root.PGSC104_Karlsruhe.A_Hull.visibilityCoefGK changed in second object (was 4.5, is 1e-06)
root.PGSC104_Karlsruhe.B_Hull.visibilityCoefGK changed in second object (was 4.5, is 1e-06)
root.PXSD002_Benson_1945_H2017.A_Hull_1938.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PJSD024_Wakatake_1923.A_Hull_1923.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PJSD024_Wakatake_1923.B_Hull_1925.visibilityCoefGK changed in second object (was 3.6, is 1e-06)
root.PGSB103_Nassau.B_Hull.visibilityCoefGK changed in second object (was 8.49, is 1e-06)
root.PGSB103_Nassau.A_Hull.visibilityCoefGK changed in second object (was 8.49, is 1e-06)
root.PBSB507_Hood.A_Hull.visibilityCoefGK changed in second object (was 11.43, is 1e-06)
root.PZSD103_Phra_Ruang.B_Hull.visibilityCoefGK changed in second object (was 3.06, is 1e-06)
root.PZSD103_Phra_Ruang.A_Hull.visibilityCoefGK changed in second object (was 3.06, is 1e-06)
root.PJSD107_Akatsuki.B_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PJSD107_Akatsuki.A_Hull.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PJSB706_Kirishima.B_Hull_1941.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PJSB706_Kirishima.C_Hull_1942.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PASB006_New_York_1934.C_Hull_1942.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PASB006_New_York_1934.B_Hull_1934.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PJSC727_Blue_Dragon.A_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC727_Blue_Dragon.B_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC727_Blue_Dragon.C_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PFSC101_Bougainville.A_Hull.visibilityCoefGK changed in second object (was 4.17, is 1e-06)
root.PJSB509_Musashi.A_Hull.visibilityCoefGK changed in second object (was 13.8, is 1e-06)
root.PZSC506_Huang_he.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PRSC101_Orlan.A_Hull.visibilityCoefGK changed in second object (was 3.9, is 1e-06)
root.PGSB507_Scharnhorst.A_Hull.visibilityCoefGK changed in second object (was 8.49, is 1e-06)
root.PRSC103_Bogatyr.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PRSC103_Bogatyr.B_Hull.visibilityCoefGK changed in second object (was 3.9, is 1e-06)
root.PBSC103_Caledon.B_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PBSC103_Caledon.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PJSD108_Akizuki.B_Hull.visibilityCoefGK changed in second object (was 3.0, is 1e-06)
root.PJSD108_Akizuki.A_Hull.visibilityCoefGK changed in second object (was 3.0, is 1e-06)
root.PXSB002_Rasputin.HullDefault.visibilityCoefGK changed in second object (was 9.1, is 1e-06)
root.PASD008_Benson_1945.B_Hull_1942.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PASD008_Benson_1945.A_Hull_1938.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PASD008_Benson_1945.C_Hull_1944.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PBSB109_Lion.A_Hull.visibilityCoefGK changed in second object (was 12.18, is 1e-06)
root.PBSB109_Lion.B_Hull.visibilityCoefGK changed in second object (was 12.18, is 1e-06)
root.PRSC999_Seal.HullDefault.visibilityCoefGK changed in second object (was 0.1, is 1e-06)
root.PASB705_Texas_1944.A_Hull.visibilityCoefGK changed in second object (was 10.68, is 1e-06)
root.PJSB506_Mutsu.A_Hull_1933.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PASC045_Marblehead_1924_Asus.HullDefault.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PJSB021_Izumo_1938.B_Hull_1942.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PJSB021_Izumo_1938.A_Hull_1938.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PJSB021_Izumo_1938.C_Hull_1945.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PJSC837_False_Hashidate_1940.HullDefault.visibilityCoefGK changed in second object (was 10.0, is 1e-06)
root.PBSB105_Iron_Duke.A_Hull.visibilityCoefGK changed in second object (was 10.29, is 1e-06)
root.PBSB105_Iron_Duke.B_Hull.visibilityCoefGK changed in second object (was 10.29, is 1e-06)
root.PJSC737_Nachi.A_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC737_Nachi.B_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PJSC737_Nachi.C_Hull.visibilityCoefGK changed in second object (was 6.08, is 1e-06)
root.PASC006_Atlanta_1942.HullDefault.visibilityCoefGK changed in second object (was 3.81, is 1e-06)
root.PFSC105_Emile_Bertin.A_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PFSC105_Emile_Bertin.B_Hull.visibilityCoefGK changed in second object (was 4.56, is 1e-06)
root.PASB708_Alabama.A_Hull.visibilityCoefGK changed in second object (was 12.18, is 1e-06)
root.PASB017_Montana_1945.HullDefault.visibilityCoefGK changed in second object (was 12.18, is 1e-06)
root.PJSB508_Kii.A_Hull.visibilityCoefGK changed in second object (was 12.3, is 1e-06)
root.PAPA082_Shell_406mm_HE_HC_Mk_13E removed in first object
root.PCEE161_Blyskawica_Flag removed in first object
root.PCEE162_Kidd_Flag removed in first object
root.PCEE158_Armada_Action removed in first object
root.PCEE156_Battle_of_Guadalcanal removed in first object
root.PCEE157_Thanksgiving_Flag removed in first object
>> finished comparing
