>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PBPA009_152MM_AP_100LBS.bulletDetonator changed in second object (was 0.025, is 0.005)
root.PRSD106_Pr_30_Ognevoy.A_Hull.fuelFee changed in second object (was 3000, is 23000)
root.PRSD106_Pr_30_Ognevoy.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.A_Hull.armor.131128 changed in second object (was 13.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.A_Hull.maxRepairCost changed in second object (was 28000, is 0)
root.PRSD106_Pr_30_Ognevoy.B_Hull.fuelFee changed in second object (was 3000, is 23000)
root.PRSD106_Pr_30_Ognevoy.B_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.B_Hull.armor.131128 changed in second object (was 13.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.B_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PRSD106_Pr_30_Ognevoy.B_Hull.maxRepairCost changed in second object (was 28000, is 0)
root.PJSD206_Hatsuharu.B_Hull_1945.fuelFee changed in second object (was 2900, is 23000)
root.PJSD206_Hatsuharu.B_Hull_1945.armor.65584 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.B_Hull_1945.armor.65592 changed in second object (was 15.0, is 16.0)
root.PJSD206_Hatsuharu.B_Hull_1945.armor.131128 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.B_Hull_1945.armor.65629 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.B_Hull_1945.maxRepairCost changed in second object (was 27000, is 0)
root.PJSD206_Hatsuharu.A_Hull_1935.fuelFee changed in second object (was 2900, is 23000)
root.PJSD206_Hatsuharu.A_Hull_1935.armor.65584 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.A_Hull_1935.armor.65592 changed in second object (was 15.0, is 16.0)
root.PJSD206_Hatsuharu.A_Hull_1935.armor.131128 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.A_Hull_1935.armor.65629 changed in second object (was 12.0, is 16.0)
root.PJSD206_Hatsuharu.A_Hull_1935.maxRepairCost changed in second object (was 27000, is 0)
root.PRSC508_Kutuzov_1952.A_Hull.fuelFee changed in second object (was 10500, is 52500)
root.PRSC508_Kutuzov_1952.A_Hull.maxRepairCost changed in second object (was 59500, is 0)
root.PJSB708_Hiei_Arpeggio.B_Hull_1941.fuelFee changed in second object (was 1500, is 11500)
root.PJSB708_Hiei_Arpeggio.B_Hull_1941.maxRepairCost changed in second object (was 16000, is 0)
root.PJSB708_Hiei_Arpeggio.C_Hull_1942.fuelFee changed in second object (was 1500, is 11500)
root.PJSB708_Hiei_Arpeggio.C_Hull_1942.maxRepairCost changed in second object (was 16000, is 0)
root.PJSD026_Camo_Kamikaze.HullDefault.fuelFee changed in second object (was 1300, is 11500)
root.PJSD026_Camo_Kamikaze.HullDefault.maxRepairCost changed in second object (was 13000, is 0)
root.PGSC110_Hindenburg.HullDefault.fuelFee changed in second object (was 35000, is 180000)
root.PGSC110_Hindenburg.HullDefault.maxRepairCost changed in second object (was 220000, is 0)
root.PCY006_SmokeGenerator.UK_Lvl_6.workTime changed in second object (was 23.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_6.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_7.workTime changed in second object (was 23.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_7.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_4.workTime changed in second object (was 22.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_4.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_5.workTime changed in second object (was 22.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_5.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_2.workTime changed in second object (was 21.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_2.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_3.workTime changed in second object (was 21.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_3.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_8.workTime changed in second object (was 24.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_8.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_9.workTime changed in second object (was 24.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_9.radius changed in second object (was 15.0, is 20.0)
root.PCY006_SmokeGenerator.UK_Lvl_10.workTime changed in second object (was 25.0, is 3.0)
root.PCY006_SmokeGenerator.UK_Lvl_10.radius changed in second object (was 15.0, is 20.0)
root.PAAD004_Douglas_SBD2.costCR changed in second object (was 220, is 250)
root.PASD019_Clemson_1920.A_Hull_1920.fuelFee changed in second object (was 0, is 5000)
root.PASD019_Clemson_1920.A_Hull_1920.maxRepairCost changed in second object (was 6500, is 0)
root.PASD019_Clemson_1920.B_Hull_1930.fuelFee changed in second object (was 0, is 5000)
root.PASD019_Clemson_1920.B_Hull_1930.maxRepairCost changed in second object (was 6500, is 0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.fuelFee changed in second object (was 32000, is 180000)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.65584 changed in second object (was 12.0, is 19.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.131128 changed in second object (was 16.0, is 19.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.armor.65629 changed in second object (was 12.0, is 19.0)
root.PRSD110_Pr_24_Khabarovsk.A_Hull.maxRepairCost changed in second object (was 200000, is 0)
root.PRSD110_Pr_24_Khabarovsk.ShipModernization.ModernizationSlot6.mods[2] removed in first object
root.PJSC705_Myoko.A_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC705_Myoko.A_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PJSC705_Myoko.B_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC705_Myoko.B_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PJSC705_Myoko.C_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PJSC705_Myoko.C_Hull.maxRepairCost changed in second object (was 50000, is 0)
root.PASB001_Michigan_1916.A_Hull.fuelFee changed in second object (was 0, is 3000)
root.PASB001_Michigan_1916.A_Hull.maxRepairCost changed in second object (was 4500, is 0)
root.PASB001_Michigan_1916.B_Hull.fuelFee changed in second object (was 0, is 3000)
root.PASB001_Michigan_1916.B_Hull.maxRepairCost changed in second object (was 4500, is 0)
root.PASB018_Iowa_1944.B_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.B_Hull.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.B_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.B_Hull.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.B_Hull.fuelFee changed in second object (was 25000, is 120000)
root.PASB018_Iowa_1944.B_Hull.maxRepairCost changed in second object (was 140000, is 0)
root.PASB018_Iowa_1944.A_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.A_Hull.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.A_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.A_Hull.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.A_Hull.fuelFee changed in second object (was 25000, is 120000)
root.PASB018_Iowa_1944.A_Hull.maxRepairCost changed in second object (was 140000, is 0)
root.PASB018_Iowa_1944.C_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.C_Hull.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.C_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.C_Hull.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASB018_Iowa_1944.C_Hull.fuelFee changed in second object (was 25000, is 120000)
root.PASB018_Iowa_1944.C_Hull.maxRepairCost changed in second object (was 140000, is 0)
root.PAAF028_Grumman_F6F_3.costCR changed in second object (was 320, is 300)
root.PBPA016_152MM_AP_6CRH_MK4.bulletDetonator changed in second object (was 0.025, is 0.005)
root.PBPA016_152MM_AP_6CRH_MK4.alphaDamage changed in second object (was 1500.0, is 2700.0)
root.PAAB052_Grumman_TBM3.costCR changed in second object (was 800, is 450)
root.PASC019_Burlington_1944.HullDefault.fuelFee changed in second object (was 35000, is 180000)
root.PASC019_Burlington_1944.HullDefault.maxRepairCost changed in second object (was 220000, is 0)
root.PBSC104_Danae.A_Hull.fuelFee changed in second object (was 0, is 5000)
root.PBSC104_Danae.A_Hull.maxRepairCost changed in second object (was 6500, is 0)
root.PBSC104_Danae.AB2_Torpedoes.HP_BGT_3.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB2_Torpedoes.HP_BGT_2.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB2_Torpedoes.HP_BGT_1.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB2_Torpedoes.HP_BGT_4.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB1_Torpedoes.HP_BGT_3.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB1_Torpedoes.HP_BGT_2.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB1_Torpedoes.HP_BGT_1.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.AB1_Torpedoes.HP_BGT_4.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC104_Danae.B_Hull.fuelFee changed in second object (was 0, is 5000)
root.PBSC104_Danae.B_Hull.maxRepairCost changed in second object (was 6500, is 0)
root.PBSC104_Danae.AB_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 27.9)
root.PBSC104_Danae.AB_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC104_Danae.AB_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PJSC018_Tone.HullDefault.fuelFee changed in second object (was 6800, is 35700)
root.PJSC018_Tone.HullDefault.maxRepairCost changed in second object (was 42500, is 0)
root.PAAF512_Vought_F4U_S.costCR changed in second object (was 800, is 600)
root.PJSC012_Ibuki_1944.B_Hull_1945.fuelFee changed in second object (was 21000, is 120000)
root.PJSC012_Ibuki_1944.B_Hull_1945.maxRepairCost changed in second object (was 140000, is 0)
root.PJSC012_Ibuki_1944.A_Hull_1944.fuelFee changed in second object (was 21000, is 120000)
root.PJSC012_Ibuki_1944.A_Hull_1944.maxRepairCost changed in second object (was 140000, is 0)
root.PASC020_Des_Moines_1948.HullDefault.maxRepairCost changed in second object (was 220000, is 0)
root.PASC020_Des_Moines_1948.HullDefault.fuelFee changed in second object (was 35000, is 180000)
root.PJSA002_Hosho_1939.B_Hull_1939.fuelFee changed in second object (was 500, is 5000)
root.PJSA002_Hosho_1939.B_Hull_1939.armor.131159 changed in second object (was 16.0, is 13.0)
root.PJSA002_Hosho_1939.B_Hull_1939.maxRepairCost changed in second object (was 5500, is 0)
root.PJSA002_Hosho_1939.C_Hull_1941.fuelFee changed in second object (was 500, is 5000)
root.PJSA002_Hosho_1939.C_Hull_1941.armor.131159 changed in second object (was 16.0, is 13.0)
root.PJSA002_Hosho_1939.C_Hull_1941.maxRepairCost changed in second object (was 5500, is 0)
root.PJAD001_D1A2.costCR changed in second object (was 220, is 250)
root.PJAB004_Yokosuka_B4Y.costCR changed in second object (was 220, is 200)
root.PBGT005_21in_Quad_Torpedo_Tube.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PZSD506_Anshan.A_Hull.fuelFee changed in second object (was 2800, is 21850)
root.PZSD506_Anshan.A_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65585 changed in second object (was 13.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65592 changed in second object (was 13.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65593 changed in second object (was 13.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PZSD506_Anshan.A_Hull.armor.65630 changed in second object (was 13.0, is 16.0)
root.PZSD506_Anshan.A_Hull.maxRepairCost changed in second object (was 26000, is 0)
root.PRSB001_Nikolay_I.HullDefault.fuelFee changed in second object (was 0, is 5000)
root.PRSB001_Nikolay_I.HullDefault.maxRepairCost changed in second object (was 7000, is 0)
root.PJSB801_False_Kawachi_1912.A_Hull_1912.fuelFee changed in second object (was 0, is 3000)
root.PJSB801_False_Kawachi_1912.A_Hull_1912.maxRepairCost changed in second object (was 4500, is 0)
root.PJSB801_False_Kawachi_1912.B_Hull_1919.fuelFee changed in second object (was 0, is 3000)
root.PJSB801_False_Kawachi_1912.B_Hull_1919.maxRepairCost changed in second object (was 4500, is 0)
root.PAAB006_Martin_T4M_float.costCR changed in second object (was 220, is 200)
root.PGSC002_Drezden_1908.A_Hull_1908.fuelFee changed in second object (was 0, is 2000)
root.PGSC002_Drezden_1908.A_Hull_1908.maxRepairCost changed in second object (was 3000, is 0)
root.PGSC002_Drezden_1908.B_Hull_1916.fuelFee changed in second object (was 0, is 2000)
root.PGSC002_Drezden_1908.B_Hull_1916.maxRepairCost changed in second object (was 3000, is 0)
root.PBSC101_Black_Swan.A1_Artillery.maxDist changed in second object (was 7040.0, is 7950.0)
root.PBSC101_Black_Swan.A_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 17.67)
root.PBSC101_Black_Swan.A_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC101_Black_Swan.A_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PBSC507_Belfast_1959.A_Hull.armor.65584 changed in second object (was 16.0, is 13.0)
root.PBSC507_Belfast_1959.A_Hull.armor.65585 changed in second object (was 16.0, is 13.0)
root.PBSC507_Belfast_1959.A_Hull.armor.65629 changed in second object (was 16.0, is 13.0)
root.PBSC507_Belfast_1959.A_Hull.armor.65630 changed in second object (was 16.0, is 13.0)
root.PBSC507_Belfast_1959.A_Hull.fuelFee changed in second object (was 6500, is 35700)
root.PBSC507_Belfast_1959.A_Hull.maxRepairCost changed in second object (was 39000, is 0)
root.PBSC507_Belfast_1959.ShipModernization.ModernizationSlot4.mods[1] changed in second object (was PCM024_Engine_Mod_II, is PCM025_SteeringGear_Mod_II)
root.PBSC507_Belfast_1959.ShipModernization.ModernizationSlot4.mods[2] removed in second object
root.PBSC507_Belfast_1959.ShipModernization.ModernizationSlot5 removed in first object
root.PBSC507_Belfast_1959.group changed in second object (was demoWithoutStats, is special)
root.PBSC507_Belfast_1959.A_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 30.225)
root.PBSC507_Belfast_1959.A_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC507_Belfast_1959.A_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PJSD503_Isokaze.B_Hull_1925.fuelFee changed in second object (was 0, is 5000)
root.PJSD503_Isokaze.B_Hull_1925.maxRepairCost changed in second object (was 6500, is 0)
root.PJSD503_Isokaze.A_Hull_1917.fuelFee changed in second object (was 0, is 5000)
root.PJSD503_Isokaze.A_Hull_1917.maxRepairCost changed in second object (was 6500, is 0)
root.PJAF009_Kawanishi_N1K5_A.costCR changed in second object (was 800, is 450)
root.PJSD002_Umikaze_1925.A_Hull_1911.fuelFee changed in second object (was 0, is 2000)
root.PJSD002_Umikaze_1925.A_Hull_1911.maxRepairCost changed in second object (was 2500, is 0)
root.PJSD002_Umikaze_1925.B_Hull_1918.fuelFee changed in second object (was 0, is 2000)
root.PJSD002_Umikaze_1925.B_Hull_1918.maxRepairCost changed in second object (was 2500, is 0)
root.PJSD017_Kamikaze_1930.HullDefault.fuelFee changed in second object (was 1300, is 11500)
root.PJSD017_Kamikaze_1930.HullDefault.maxRepairCost changed in second object (was 13000, is 0)
root.PRSC102_Novik.A_Hull.fuelFee changed in second object (was 0, is 2000)
root.PRSC102_Novik.A_Hull.maxRepairCost changed in second object (was 3000, is 0)
root.PRSC102_Novik.B_Hull.fuelFee changed in second object (was 0, is 2000)
root.PRSC102_Novik.B_Hull.maxRepairCost changed in second object (was 3000, is 0)
root.PRSD103_Derzky.A_Hull.fuelFee changed in second object (was 0, is 3000)
root.PRSD103_Derzky.A_Hull.maxRepairCost changed in second object (was 3600, is 0)
root.PRSD103_Derzky.B_Hull.fuelFee changed in second object (was 0, is 3000)
root.PRSD103_Derzky.B_Hull.maxRepairCost changed in second object (was 3600, is 0)
root.PJSD010_Kagero_1943.ShipModernization.ModernizationSlot6.mods[2] removed in first object
root.PJSD010_Kagero_1943.A_Hull_1943.fuelFee changed in second object (was 21000, is 120000)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.131128 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65584 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65592 changed in second object (was 15.0, is 19.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.A_Hull_1943.armor.65629 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.A_Hull_1943.maxRepairCost changed in second object (was 130000, is 0)
root.PJSD010_Kagero_1943.B_Hull_1941.fuelFee changed in second object (was 21000, is 120000)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.131128 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65584 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65592 changed in second object (was 15.0, is 19.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.B_Hull_1941.armor.65629 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.B_Hull_1941.maxRepairCost changed in second object (was 130000, is 0)
root.PJSD010_Kagero_1943.C_Hull_1945.fuelFee changed in second object (was 21000, is 120000)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.131128 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65584 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65592 changed in second object (was 15.0, is 19.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65626 changed in second object (was 12.0, is 13.0)
root.PJSD010_Kagero_1943.C_Hull_1945.armor.65629 changed in second object (was 12.0, is 19.0)
root.PJSD010_Kagero_1943.C_Hull_1945.maxRepairCost changed in second object (was 130000, is 0)
root.PASC024_Phoenix_1917.C_Hull_1938.fuelFee changed in second object (was 0, is 5000)
root.PASC024_Phoenix_1917.C_Hull_1938.maxRepairCost changed in second object (was 6500, is 0)
root.PASC024_Phoenix_1917.B_Hull_1924.fuelFee changed in second object (was 0, is 5000)
root.PASC024_Phoenix_1917.B_Hull_1924.maxRepairCost changed in second object (was 6500, is 0)
root.PASC024_Phoenix_1917.A_Hull_1917.fuelFee changed in second object (was 0, is 5000)
root.PASC024_Phoenix_1917.A_Hull_1917.maxRepairCost changed in second object (was 6500, is 0)
root.PAAF008_F2A.costCR changed in second object (was 320, is 200)
root.PZSD508_LoYang.A_Hull.fuelFee changed in second object (was 10000, is 52500)
root.PZSD508_LoYang.A_Hull.armor.131128 changed in second object (was 16.0, is 19.0)
root.PZSD508_LoYang.A_Hull.armor.65584 changed in second object (was 12.0, is 19.0)
root.PZSD508_LoYang.A_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PZSD508_LoYang.A_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PZSD508_LoYang.A_Hull.armor.65629 changed in second object (was 12.0, is 19.0)
root.PZSD508_LoYang.A_Hull.maxRepairCost changed in second object (was 59000, is 0)
root.PZSD508_LoYang.ShipModernization.ModernizationSlot5.mods[2] removed in first object
root.PJSB010_Nagato_1944.B_Hull_1941.maxRepairCost changed in second object (was 55000, is 0)
root.PJSB010_Nagato_1944.B_Hull_1941.fuelFee changed in second object (was 8500, is 42000)
root.PJSB010_Nagato_1944.A_Hull_1933.fuelFee changed in second object (was 8500, is 42000)
root.PJSB010_Nagato_1944.A_Hull_1933.maxRepairCost changed in second object (was 55000, is 0)
root.PJSB010_Nagato_1944.C_Hull_1944.fuelFee changed in second object (was 8500, is 42000)
root.PJSB010_Nagato_1944.C_Hull_1944.maxRepairCost changed in second object (was 55000, is 0)
root.PGSB106_Bayern.A_Hull.fuelFee changed in second object (was 3200, is 23000)
root.PGSB106_Bayern.A_Hull.maxRepairCost changed in second object (was 38000, is 0)
root.PGSB106_Bayern.B_Hull.fuelFee changed in second object (was 3200, is 23000)
root.PGSB106_Bayern.B_Hull.maxRepairCost changed in second object (was 38000, is 0)
root.PASD002_Sampson_1917.A_Hull_1917.fuelFee changed in second object (was 0, is 2000)
root.PASD002_Sampson_1917.A_Hull_1917.maxRepairCost changed in second object (was 2500, is 0)
root.PASD002_Sampson_1917.B_Hull_1931.fuelFee changed in second object (was 0, is 2000)
root.PASD002_Sampson_1917.B_Hull_1931.maxRepairCost changed in second object (was 2500, is 0)
root.PAAD003_Vought_SB2U.costCR changed in second object (was 550, is 350)
root.PASC707_Flint.A_Hull.fuelFee changed in second object (was 6500, is 35700)
root.PASC707_Flint.A_Hull.armor.65630 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.armor.65584 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.armor.65585 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.armor.131120 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.armor.65603 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.armor.131165 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.armor.65622 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.armor.65623 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.armor.65629 changed in second object (was 16.0, is 13.0)
root.PASC707_Flint.A_Hull.maxRepairCost changed in second object (was 39000, is 0)
root.PRSD507_Leningrad_1944.A_Hull.fuelFee changed in second object (was 6500, is 35700)
root.PRSD507_Leningrad_1944.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PRSD507_Leningrad_1944.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PRSD507_Leningrad_1944.A_Hull.armor.131128 changed in second object (was 12.0, is 16.0)
root.PRSD507_Leningrad_1944.A_Hull.maxRepairCost changed in second object (was 39000, is 0)
root.PJAD004_J5N.costCR changed in second object (was 1700, is 800)
root.PAAF029_Vought_F4U_1A.costCR changed in second object (was 800, is 450)
root.PJSC708_ARP_Takao.HullDefault.maxRepairCost changed in second object (was 85500, is 0)
root.PJSC708_ARP_Takao.HullDefault.fuelFee changed in second object (was 16500, is 75000)
root.PRSD102_SM_Storojevoy.A_Hull.fuelFee changed in second object (was 0, is 2000)
root.PRSD102_SM_Storojevoy.A_Hull.maxRepairCost changed in second object (was 2750, is 0)
root.PRSD102_SM_Storojevoy.B_Hull.fuelFee changed in second object (was 0, is 2000)
root.PRSD102_SM_Storojevoy.B_Hull.maxRepairCost changed in second object (was 2750, is 0)
root.PAAB002_Grumman_TBF.costCR changed in second object (was 550, is 350)
root.PJAD005_D3A2.costCR changed in second object (was 550, is 350)
root.PJAF003_Nikajima_A4N.costCR changed in second object (was 220, is 150)
root.PAAB009_Douglas_AD1.costCR changed in second object (was 1200, is 600)
root.PAAF009_Grumman_F4F.costCR changed in second object (was 220, is 200)
root.PRSD109_Pr_48_Kiev.A_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PRSD109_Pr_48_Kiev.A_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PRSD109_Pr_48_Kiev.A_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PRSD109_Pr_48_Kiev.A_Hull.maxRepairCost changed in second object (was 46000, is 0)
root.PRSD109_Pr_48_Kiev.B_Hull.fuelFee changed in second object (was 8000, is 42000)
root.PRSD109_Pr_48_Kiev.B_Hull.armor.65584 changed in second object (was 12.0, is 16.0)
root.PRSD109_Pr_48_Kiev.B_Hull.armor.65629 changed in second object (was 12.0, is 16.0)
root.PRSD109_Pr_48_Kiev.B_Hull.maxRepairCost changed in second object (was 46000, is 0)
root.PBGT023_21in_3tube_TR_Mk_IV_R.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PGSB109_Friedrich_der_Grosse.A_Hull.armor.65630 changed in second object (was 30.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.A_Hull.armor.65585 changed in second object (was 28.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.A_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.A_Hull.armor.131121 changed in second object (was 30.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.A_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.A_Hull.armor.131166 changed in second object (was 28.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.A_Hull.maxRepairCost changed in second object (was 140000, is 0)
root.PGSB109_Friedrich_der_Grosse.A_Hull.fuelFee changed in second object (was 25000, is 120000)
root.PGSB109_Friedrich_der_Grosse.B_Hull.fuelFee changed in second object (was 25000, is 120000)
root.PGSB109_Friedrich_der_Grosse.B_Hull.armor.65630 changed in second object (was 30.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.B_Hull.armor.65585 changed in second object (was 28.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.B_Hull.armor.65584 changed in second object (was 28.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.B_Hull.armor.131121 changed in second object (was 30.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.B_Hull.armor.65629 changed in second object (was 28.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.B_Hull.armor.131166 changed in second object (was 28.0, is 32.0)
root.PGSB109_Friedrich_der_Grosse.B_Hull.maxRepairCost changed in second object (was 140000, is 0)
root.PJSA012_Zuikaku_1944.A_Hull_1941.armor.65625 changed in second object (was 12.0, is 13.0)
root.PJSA012_Zuikaku_1944.A_Hull_1941.armor.65626 changed in second object (was 12.0, is 13.0)
