>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PRGM113_149mm60_DrhTr_SK_C25.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PASD019_Clemson_1920.AB1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PASD019_Clemson_1920.AB1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PASD019_Clemson_1920.B2_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD019_Clemson_1920.B2_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD019_Clemson_1920.B2_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD019_Clemson_1920.B2_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PFSC103_Friant.AB1_Artillery.HP_FGM_4.smokePenalty changed in second object (was 0.0001, is 0.32)
root.PFSC103_Friant.AB1_Artillery.HP_FGM_3.smokePenalty changed in second object (was 0.0001, is 0.32)
root.PFSC103_Friant.AB1_Artillery.HP_FGM_1.smokePenalty changed in second object (was 0.0001, is 0.32)
root.PFSC103_Friant.AB1_Artillery.HP_FGM_2.smokePenalty changed in second object (was 0.0001, is 0.32)
root.PRSD110_Pr_24_Khabarovsk.A1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSD110_Pr_24_Khabarovsk.A1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSD110_Pr_24_Khabarovsk.A1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSD110_Pr_24_Khabarovsk.A1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PAGM167_14in40_Model_1909.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PGGM047_150mm_SK_L45.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGGM058_280mm54_5_C34.smokePenalty changed in second object (was 0.0001, is 4.14)
root.PBSB110_Conqueror.A1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 13.41)
root.PBSB110_Conqueror.A1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 13.41)
root.PBSB110_Conqueror.A1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 13.41)
root.PBSB110_Conqueror.A1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 13.41)
root.PBSB110_Conqueror.A2_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 11.6)
root.PBSB110_Conqueror.A2_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 11.6)
root.PBSB110_Conqueror.A2_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 11.6)
root.PBSB110_Conqueror.A2_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 11.6)
root.PGSB507_Scharnhorst.A_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 4.14)
root.PGSB507_Scharnhorst.A_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 4.14)
root.PGSB507_Scharnhorst.A_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 4.14)
root.PRGM069_180mm_CM_3.smokePenalty changed in second object (was 0.0001, is 1.05)
root.PRGM016_6in53_Mk13_Single.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJGM541_100mm65_Type98_HSF.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PAGM025_8in55_Triple_Mk16.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PBSB107_King_George_V.A1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PBSB107_King_George_V.A1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 10.96)
root.PBSB107_King_George_V.A1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 10.96)
root.PBSB107_King_George_V.B1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PBSB107_King_George_V.B1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 10.96)
root.PBSB107_King_George_V.B1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 10.96)
root.PJGM068_305mm45_double.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASD502_Smith.A1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.03)
root.PASD502_Smith.A1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.03)
root.PASD502_Smith.A1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.03)
root.PASD502_Smith.A1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.03)
root.PASD502_Smith.A1_Artillery.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.03)
root.PRGM046_130mm_B2LM.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PGGM001_380mm_SKC_34_RF_Bismarck.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PGSC508_Prinz_Eugen.A1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PGSC508_Prinz_Eugen.A1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PGSC508_Prinz_Eugen.A1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PGSC508_Prinz_Eugen.A1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PASC019_Burlington_1944.ArtilleryDefault.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC019_Burlington_1944.ArtilleryDefault.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC019_Burlington_1944.ArtilleryDefault.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC019_Burlington_1944.ArtilleryDefault.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PBSC104_Danae.AB1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC104_Danae.AB1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC104_Danae.AB1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC104_Danae.AB1_Artillery.HP_BGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC104_Danae.AB1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBSC104_Danae.AB1_Artillery.HP_BGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PBUS625_SUO_NELSON.costCR changed in second object (was 360000, is 0)
root.PFGM507_330_52_Mle_1931_prem_Nolan.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PRGM041_120mm_45_Canet.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PIGM001_152mm53_F.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PJGM142_120mm45_Type_Ha.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PBSB104_Orion.AB1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 4.9)
root.PBSB104_Orion.AB1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 4.9)
root.PBSB104_Orion.AB1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 4.9)
root.PBSB104_Orion.AB1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 4.9)
root.PBSB104_Orion.AB1_Artillery.HP_BGM_5.smokePenalty changed in second object (was 0.0001, is 4.9)
root.PJGM067_305mm50_double.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PCGM353_350mm_BASIC_3_barrel.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PAGM154_5in50_Mk5.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PJGM105_152mm45.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC020_Des_Moines_1948.ArtilleryDefault.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC020_Des_Moines_1948.ArtilleryDefault.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC020_Des_Moines_1948.ArtilleryDefault.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PCBX024_PCGM004.artillery.HP_CGM_1.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PASC804_FALSE_ENEMY_Erie_1936.A1_127_51.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC804_FALSE_ENEMY_Erie_1936.A1_127_51.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC804_FALSE_ENEMY_Erie_1936.A1_127_51.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC804_FALSE_ENEMY_Erie_1936.A1_127_51.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PBGM021_6in50_MK_XXI.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PRSC110_Pr_66_Moskva.A1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 1.95)
root.PRSC110_Pr_66_Moskva.A1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 1.95)
root.PRSC110_Pr_66_Moskva.A1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 1.95)
root.PJGM118_120mm40_Type_HaGun_Mask.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PZSD506_Anshan.A1_Artillery.HP_ZGM_2.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PZSD506_Anshan.A1_Artillery.HP_ZGM_3.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PZSD506_Anshan.A1_Artillery.HP_ZGM_1.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PZSD506_Anshan.A1_Artillery.HP_ZGM_4.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSB001_Nikolay_I.ArtilleryDefault.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PRSB001_Nikolay_I.ArtilleryDefault.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PRSB001_Nikolay_I.ArtilleryDefault.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PRSB001_Nikolay_I.ArtilleryDefault.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PJGM047_410mm45_Type3_RF_F.smokePenalty changed in second object (was 0.0001, is 8.38)
root.PJGM050_356mm45_Type41.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_6.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_5.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_6.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_5.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_6.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_5.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PCGM303_300mm_BASIC_3_barrel.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PJSC014_Kitakami_1945.ArtilleryDefault.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PJSC014_Kitakami_1945.ArtilleryDefault.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PJSC014_Kitakami_1945.ArtilleryDefault.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PJSC014_Kitakami_1945.ArtilleryDefault.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_10.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_7.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_6.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_9.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_8.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_12.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_11.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_10.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_7.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_6.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_9.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_8.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PRSC606_Admiral_Makarov.A1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PRSC606_Admiral_Makarov.A1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PRSC606_Admiral_Makarov.A1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PFGM010_152_55_Mle_1930.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC101_Black_Swan.A1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PBSC101_Black_Swan.A1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PBSC101_Black_Swan.A1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PAGM125_14in_45_Mk8.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJGM013_203mm50_Type_C.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PRGM077_130mm_55_Shield.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PBSC507_Belfast_1959.A1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC507_Belfast_1959.A1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC507_Belfast_1959.A1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC507_Belfast_1959.A1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PGGM002_380mm_SKC_34_Bismarck.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PGSC706_HSF_Graf_Spee.A1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 4.14)
root.PGSC706_HSF_Graf_Spee.A1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 4.14)
root.PAGM065_14in50_3Gun_Turret.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PRGM047_130mm_B2U.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSC102_Novik.A1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.A1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.A1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.A1_Artillery.HP_RGM_6.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.A1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.A1_Artillery.HP_RGM_5.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.B1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.B1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.B1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.B1_Artillery.HP_RGM_6.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.B1_Artillery.HP_RGM_7.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.B1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.B1_Artillery.HP_RGM_5.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PRSC102_Novik.B1_Artillery.HP_RGM_8.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PJSC037_Hashidate_1940.A_Artillery.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PJSC037_Hashidate_1940.A_Artillery.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PAGM134_3in50_Mk5_Shield.smokePenalty changed in second object (was 0.0001, is 0.03)
root.PGGM147_420MM_48_DRH_LC_1940.smokePenalty changed in second object (was 0.0001, is 13.5)
root.PRSD103_Derzky.A_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PRSD103_Derzky.A_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PRSD103_Derzky.A_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PRSD103_Derzky.B_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PRSD103_Derzky.B_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PRSD103_Derzky.B_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.06)
root.PJSD010_Kagero_1943.C1_127_50.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD010_Kagero_1943.C1_127_50.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD010_Kagero_1943.AB1_127_50.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD010_Kagero_1943.AB1_127_50.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD010_Kagero_1943.AB1_127_50.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PCGM003_170mm_K_18.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_10.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_9.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_10.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_9.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PAGM076_5in38_Mk30_Mod0.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PCGM354_350mm_BASIC_4_barrel.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PGGM096_280mm54_5_C34_Shee_HSF2.smokePenalty changed in second object (was 0.0001, is 4.14)
root.PGGM051_305mm_50_Drh_LC_1909.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB012_North_Carolina_1945.AB1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB012_North_Carolina_1945.AB1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB012_North_Carolina_1945.AB1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB012_North_Carolina_1945.C1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB012_North_Carolina_1945.C1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB012_North_Carolina_1945.C1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PZSD508_LoYang.A1_Artillery.HP_ZGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PZSD508_LoYang.A1_Artillery.HP_ZGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
