>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PXW001_DefaultCrew.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW009_Unknown.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW009_Unknown.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW009_Unknown.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW009_Unknown.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW009_Unknown.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PGSD102_V_25.groupCustom.PT removed in second object
root.PJW011_Iona.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW011_Iona.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW011_Iona.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW011_Iona.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW011_Iona.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW011_Iona.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW011_Iona.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW011_Iona.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW011_Iona.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW011_Iona.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PGSD107_Leberecht_Maass.groupCustom.PT removed in second object
root.PGSD110_Z_52.groupCustom.PT removed in second object
root.PJW014_Ashigara.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW014_Ashigara.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW014_Ashigara.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW014_Ashigara.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW014_Ashigara.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW014_Ashigara.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW014_Ashigara.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW014_Ashigara.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW014_Ashigara.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW014_Ashigara.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
root.PJW017_ARP_Nachi.Skills.LastChanceModifier.timeStep changed in second object (was 0.1, is 0.2)
root.PJW017_ARP_Nachi.Skills.AutoRepairModifier.column changed in second object (was 1, is 0)
root.PJW017_ARP_Nachi.Skills.FireResistanceModifier.column changed in second object (was 0, is 1)
root.PJW017_ARP_Nachi.Skills.FireResistanceModifier.tier changed in second object (was 3, is 4)
root.PJW017_ARP_Nachi.Skills.FireResistanceModifier.probabilityCoefficient changed in second object (was 0.93, is 0.9)
root.PJW017_ARP_Nachi.Skills.LandmineExploderModifier.chanceToSetOnFireBonus changed in second object (was -0.06, is -0.03)
root.PJW017_ARP_Nachi.Skills.SurvivalModifier.healthPerLevel changed in second object (was 400, is 350)
root.PJW017_ARP_Nachi.Skills.SurvivalModifier.tier changed in second object (was 4, is 3)
root.PJW017_ARP_Nachi.Skills.OutOfAttackModifier.fightersVitalCoefficient changed in second object (was 1.15, is 1.75)
root.PJW017_ARP_Nachi.Skills.OutOfAttackModifier.fightersVisibCoefficient changed in second object (was 0.6, is 0.8)
>> finished comparing
