>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PJSB007_Kongo_1942.B_Hull_1941.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASB012_North_Carolina_1945.B_Hull_1942.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PASB012_North_Carolina_1945.B_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB012_North_Carolina_1945.AB1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB012_North_Carolina_1945.AB1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB012_North_Carolina_1945.C_Hull_1945.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PASB012_North_Carolina_1945.C_Hull_1945.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PZSD508_LoYang.A_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PZSD508_LoYang.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PZSD508_LoYang.ShipModernization.ModernizationSlot2.mods[5] removed in first object
root.PJSB010_Nagato_1944.A_Hull_1941.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSB010_Nagato_1944.A_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB010_Nagato_1944.B_Hull_1944.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSB010_Nagato_1944.B_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD002_Sampson_1917.A_Hull_1917.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD002_Sampson_1917.B_Hull_1931.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC707_Flint.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASC707_Flint.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD210_Grozovoy_pr_40N.A_Hull.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PRSD210_Grozovoy_pr_40N.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD210_Grozovoy_pr_40N.ShipModernization.ModernizationSlot2.mods[4] removed in first object
root.PRSD210_Grozovoy_pr_40N.A1_Engine.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PRSD210_Grozovoy_pr_40N.A1_Engine.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PJSB013_Amagi_1942.A_Hull_1941.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSB013_Amagi_1942.A_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB013_Amagi_1942.B_Hull_1944.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSB013_Amagi_1942.B_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD109_Z_46.A_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PGSD109_Z_46.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD109_Z_46.B_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PGSD109_Z_46.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD109_Z_46.AB_Engine.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PGSD109_Z_46.AB_Engine.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PJSC708_ARP_Takao.HullDefault.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSC708_ARP_Takao.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB018_Iowa_1944.B_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASB018_Iowa_1944.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB018_Iowa_1944.A_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASB018_Iowa_1944.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB018_Iowa_1944.C_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASB018_Iowa_1944.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB018_Iowa_1944.ABC1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB018_Iowa_1944.ABC1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB018_Iowa_1944.ABC2_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB018_Iowa_1944.ABC2_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PRSD102_SM_Storojevoy.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD102_SM_Storojevoy.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD102_SM_Storojevoy.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PJSC999_Yubari_Special.A_Hull_1912.floodParams[1] changed in second object (was -1.0, is 0.667)
root.PJSC999_Yubari_Special.A_Hull_1912.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PXSD001_VanHellsink.A_Hull_1912.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC805_FALSE_ENEMY_Erie_1936.A_Hull_1936.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD107_Pr_35_Udaloy.A_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PRSD107_Pr_35_Udaloy.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD107_Pr_35_Udaloy.B_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PRSD107_Pr_35_Udaloy.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD107_Pr_35_Udaloy.EngineDefault.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PRSD107_Pr_35_Udaloy.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PRSD109_Pr_48_Kiev.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PRSD109_Pr_48_Kiev.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD109_Pr_48_Kiev.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PRSD109_Pr_48_Kiev.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD109_Pr_48_Kiev.EngineDefault.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PRSD109_Pr_48_Kiev.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PGSB109_Friedrich_der_Grosse.A_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PGSB109_Friedrich_der_Grosse.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB109_Friedrich_der_Grosse.B_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PGSB109_Friedrich_der_Grosse.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSA012_Zuikaku_1944.A_Hull_1941.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSA012_Zuikaku_1944.A_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSA012_Zuikaku_1944.B_Hull_1943.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSA012_Zuikaku_1944.B_Hull_1943.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSA012_Zuikaku_1944.C_Hull_1944.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSA012_Zuikaku_1944.C_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC001_Hermelin_1940.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASD029_Sims_1941.HullDefault.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASD029_Sims_1941.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC110_Minotaur.A_Hull.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PBSC110_Minotaur.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC110_Minotaur.ShipModernization.ModernizationSlot6.mods[3] removed in first object
root.PJSC013_Kuma_1938.A_Hull_1920.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSC013_Kuma_1938.A_Hull_1920.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC013_Kuma_1938.B_Hull_1938.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSC013_Kuma_1938.B_Hull_1938.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC009_Mogami_1935.B_Hull_1943.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSC009_Mogami_1935.B_Hull_1943.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC009_Mogami_1935.C_Hull_1944.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSC009_Mogami_1935.C_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC009_Mogami_1935.A_Hull_1935.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSC009_Mogami_1935.A_Hull_1935.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC002_Diana_1905.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASA013_Essex_1945.A_Hull_1943.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASA013_Essex_1945.A_Hull_1943.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASA013_Essex_1945.B_Hull_1945.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASA013_Essex_1945.B_Hull_1945.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASA010_Ranger_1944.A_Hull_1941.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASA010_Ranger_1944.A_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASA010_Ranger_1944.B_Hull_1943.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASA010_Ranger_1944.B_Hull_1943.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PXSC001_Dr_Frankenship.A_Hull_1912.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSD503_Campbeltown_1941.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD803_False_Isokaze_1917.B_Hull_1925.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSD803_False_Isokaze_1917.B_Hull_1925.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD803_False_Isokaze_1917.A_Hull_1917.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSD803_False_Isokaze_1917.A_Hull_1917.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC008_Myoko_1945.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC008_Myoko_1945.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC008_Myoko_1945.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC008_Myoko_1945.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC008_Myoko_1945.C_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC008_Myoko_1945.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC507_Indianapolis_1945.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PASC507_Indianapolis_1945.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD004_Minekadze_1920.A_Hull_1920.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSD004_Minekadze_1920.A_Hull_1920.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD004_Minekadze_1920.B_Hull_1938.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSD004_Minekadze_1920.B_Hull_1938.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD006_Hatsuharu_1945.B_Hull_1945.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSD006_Hatsuharu_1945.B_Hull_1945.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD006_Hatsuharu_1945.A_Hull_1935.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSD006_Hatsuharu_1945.A_Hull_1935.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD104_Izyaslav.A_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PRSD104_Izyaslav.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD104_Izyaslav.B_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PRSD104_Izyaslav.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD104_Izyaslav.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PJSC005_Furutaka_1926.B_Hull_1941.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSC005_Furutaka_1926.B_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC005_Furutaka_1926.A_Hull_1929.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSC005_Furutaka_1926.A_Hull_1929.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC005_Furutaka_1926.C_Hull_1942.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSC005_Furutaka_1926.C_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC003_Murmansk_1944.Hull_A.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSC003_Murmansk_1944.Hull_A.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC802_Cimarron_Target.HullDefault.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASC802_Cimarron_Target.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD025_True_Kamikaze.HullDefault.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSD025_True_Kamikaze.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC109_Roon.A_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PGSC109_Roon.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC109_Roon.B_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PGSC109_Roon.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC105_Kirov.A_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSC105_Kirov.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC105_Kirov.B_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSC105_Kirov.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD205_Podvoisky_pr_1929.A_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSD205_Podvoisky_pr_1929.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD205_Podvoisky_pr_1929.B_Hull.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PRSD205_Podvoisky_pr_1929.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB104_Kaiser.A_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PGSB104_Kaiser.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB104_Kaiser.AB2_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PGSB104_Kaiser.AB2_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PGSB104_Kaiser.AB1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PGSB104_Kaiser.AB1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PGSB104_Kaiser.B_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PGSB104_Kaiser.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSC001_Avrora_1917.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD108_Pr_20i_Tashkent.A_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PRSD108_Pr_20i_Tashkent.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD108_Pr_20i_Tashkent.B_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PRSD108_Pr_20i_Tashkent.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD108_Pr_20i_Tashkent.EngineDefault.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PASC044_Marblehead_1924.HullDefault.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASC044_Marblehead_1924.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC044_Marblehead_1924.HullDefault.rudderTime changed in second object (was 10.12, is 7.5)
root.PGSC103_Kolberg.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC103_Kolberg.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB799_Kirishima.HullDefault.floodParams[1] changed in second object (was -1.0, is 0.667)
root.PJSB799_Kirishima.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD007_Fubuki_1944.B_Hull_1944.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSD007_Fubuki_1944.B_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD007_Fubuki_1944.A_Hull_1944.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSD007_Fubuki_1944.A_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD007_Fubuki_1944.C_Hull_1943.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PJSD007_Fubuki_1944.C_Hull_1943.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD207_Minsk.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PRSD207_Minsk.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRSD207_Minsk.AB1_Engine.backwardSpeedOnFlood changed in second object (was -0.15, is -0.26)
root.PRSD207_Minsk.AB1_Engine.forwardSpeedOnFlood changed in second object (was -0.2, is -0.15)
root.PRSD207_Minsk.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PRSD207_Minsk.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC837_False_Hashidate_1940.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD012_Shimakaze_1943.B_Hull.floodParams[1] changed in second object (was 0.433, is 0.667)
root.PJSD012_Shimakaze_1943.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC001_Erie_1936.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC001_Erie_1936.A_Artillery.HP_AGM_1.shotDelay changed in second object (was 7.0, is 6.0)
root.PASC001_Erie_1936.A_Artillery.HP_AGM_3.shotDelay changed in second object (was 7.0, is 6.0)
root.PASC001_Erie_1936.A_Artillery.HP_AGM_2.shotDelay changed in second object (was 7.0, is 6.0)
root.PASC001_Erie_1936.A_Artillery.HP_AGM_4.shotDelay changed in second object (was 7.0, is 6.0)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_1.shotDelay changed in second object (was 13.0, is 10.0)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_3.shotDelay changed in second object (was 13.0, is 10.0)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_2.shotDelay changed in second object (was 13.0, is 10.0)
root.PASC017_Baltimore_1944.B_Hull_1948.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASC017_Baltimore_1944.B_Hull_1948.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASC017_Baltimore_1944.A_Hull_1944.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASC017_Baltimore_1944.A_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB503_Koenig_Albert.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB503_Koenig_Albert.A1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PGSB503_Koenig_Albert.A1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PGSC104_Karlsruhe.A_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PGSC104_Karlsruhe.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC104_Karlsruhe.B_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PGSC104_Karlsruhe.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB509_Missouri.A_Hull.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASB509_Missouri.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB509_Missouri.A_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB509_Missouri.A_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PJSC707_Ashigara.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC707_Ashigara.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC707_Ashigara.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC707_Ashigara.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC707_Ashigara.C_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC707_Ashigara.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASX006_Cimarron_invisible.HullDefault.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASX006_Cimarron_invisible.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD024_Wakatake_1923.A_Hull_1923.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD024_Wakatake_1923.B_Hull_1925.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSB002_Warspite_1941.HullDefault.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PBSB002_Warspite_1941.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PRUA301_C4_ART_STOCK.costCR changed in second object (was 0, is 72000)
root.PJSA011_Hiryu_1942.B_Hull_1942.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSA011_Hiryu_1942.B_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSA011_Hiryu_1942.C_Hull_1945.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSA011_Hiryu_1942.C_Hull_1945.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB107_Gneisenau.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PGSB107_Gneisenau.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB107_Gneisenau.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PGSB107_Gneisenau.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB103_Nassau.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB103_Nassau.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC108_Edinburgh.A_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PBSC108_Edinburgh.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PBSC108_Edinburgh.B_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PBSC108_Edinburgh.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSB507_Scharnhorst.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PGSB507_Scharnhorst.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASX001_Cimarron.HullDefault.floodParams[1] changed in second object (was 0.458, is 0.667)
root.PASX001_Cimarron.HullDefault.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD107_Akatsuki.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSD107_Akatsuki.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSD107_Akatsuki.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSD107_Akatsuki.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD108_Z_23.A_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PGSD108_Z_23.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSD108_Z_23.B_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PGSD108_Z_23.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB706_Kirishima.B_Hull_1941.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSB706_Kirishima.B_Hull_1941.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSB706_Kirishima.C_Hull_1942.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PJSB706_Kirishima.C_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC026_Iwaki_1944.A_Hull.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PJSC026_Iwaki_1944.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB006_New_York_1934.AB2_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB006_New_York_1934.AB2_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB006_New_York_1934.AB1_Engine.backwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB006_New_York_1934.AB1_Engine.forwardSpeedOnFlood changed in second object (was -0.35, is -0.2)
root.PASB006_New_York_1934.C_Hull_1942.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASB006_New_York_1934.C_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASB006_New_York_1934.B_Hull_1934.floodParams[1] changed in second object (was 0.558, is 0.667)
root.PASB006_New_York_1934.B_Hull_1934.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASA004_Langley_1929.B_Hull_1944.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASA004_Langley_1929.B_Hull_1944.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PASA004_Langley_1929.A_Hull_1929.floodParams[1] changed in second object (was 0.583, is 0.667)
root.PASA004_Langley_1929.A_Hull_1929.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC727_Blue_Dragon.A_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC727_Blue_Dragon.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC727_Blue_Dragon.B_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC727_Blue_Dragon.B_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC727_Blue_Dragon.C_Hull.floodParams[1] changed in second object (was 0.508, is 0.667)
root.PJSC727_Blue_Dragon.C_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PGSC508_Prinz_Eugen.A_Hull.floodParams[1] changed in second object (was 0.483, is 0.667)
root.PGSC508_Prinz_Eugen.A_Hull.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC007_Aoba_1943.A_Hull_1942.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PJSC007_Aoba_1943.A_Hull_1942.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJSC007_Aoba_1943.B_Hull_1943.floodParams[1] changed in second object (was 0.533, is 0.667)
root.PJSC007_Aoba_1943.B_Hull_1943.floodParams[2] changed in second object (was 120.0, is 90.0)
root.PJGM062_203mm50_Type_E_RF8.rotationSpeed[0] changed in second object (was 5.0, is 6.0)
