>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCPA023_140mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.B1_305_45.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.A1_305_45.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.A_Hull_1912.health changed in second object (was 35800.0, is 30400.0)
root.PJSB801_False_Kawachi_1912.B_Hull_1919.health changed in second object (was 38700.0, is 30400.0)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB801_False_Kawachi_1912.B2_305_50.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM043_14in50_3Gun_Turret.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.A1_Artillery.HP_GGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_12.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_11.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC002_Drezden_1908.B1_Artillery.HP_GGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJPA017_Shell_460mm_AP_APC_Type_91.bulletCapNormalizeMaxAngle changed in second object (was 5.25, is 6.0)
root.PGGM060_380mm_SKC_34.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA004_Shell_127mm_AP_SC_Mk_38.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PJGM116_410mm50_Type3_RF_F.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM125_14in_45_Mk8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM013_203mm50_Type_C.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PBGM026_4in50_Mk12.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM155_12in50_Mk7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM065_14in50_3Gun_Turret.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD002_Umikaze_1925.A1_120_40.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD002_Umikaze_1925.A1_120_40.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD002_Umikaze_1925.B1_120_40.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD002_Umikaze_1925.B1_120_40.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD002_Umikaze_1925.B1_120_40.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD017_Kamikaze_1930.permoflages[0] changed in second object (was PJEP517_Kamikaze_1930, is PCEP103_Permo_Prem_Low_lvl)
root.PJSD017_Kamikaze_1930.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD017_Kamikaze_1930.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD017_Kamikaze_1930.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD017_Kamikaze_1930.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD017_Kamikaze_1930.nativePermoflage changed in second object (was PJEP517_Kamikaze_1930, is PCEP103_Permo_Prem_Low_lvl)
root.PAGM148_6in53_Mk13_Single.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.A1_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.A1_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.A1_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.A1_Artillery.HP_RGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.A1_Artillery.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.A1_Artillery.HP_RGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.ShipUpgradeInfo.costXP changed in second object (was 450, is 350)
root.PRSC102_Novik.ShipUpgradeInfo.costCR changed in second object (was 75300, is 69300)
root.PRSC102_Novik.B1_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.B1_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.B1_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.B1_Artillery.HP_RGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.B1_Artillery.HP_RGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.B1_Artillery.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.B1_Artillery.HP_RGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC102_Novik.B1_Artillery.HP_RGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC037_Hashidate_1940.AirDefenseDefault removed in second object
root.PJSC037_Hashidate_1940.A_Hull.Ammo_1.maxHP changed in second object (was 5400.0, is 2600.0)
root.PJSC037_Hashidate_1940.A_Hull.Ammo_2.maxHP changed in second object (was 5400.0, is 2600.0)
root.PJSC037_Hashidate_1940.A_Hull.health changed in second object (was 8800.0, is 5150.0)
root.PJSC037_Hashidate_1940.A_Hull.rudderTime changed in second object (was 5.43, is 3.88)
root.PJSC037_Hashidate_1940.A_Hull.St.maxHP changed in second object (was 600.0, is 300.0)
root.PJSC037_Hashidate_1940.A_Hull.SS.maxHP changed in second object (was 500.0, is 300.0)
root.PJSC037_Hashidate_1940.A_Hull.Hull.maxHP changed in second object (was 8000.0, is 4100.0)
root.PJSC037_Hashidate_1940.A_Hull.SG.maxHP changed in second object (was 3200.0, is 1500.0)
root.PJSC037_Hashidate_1940.A_Hull.Bow.maxHP changed in second object (was 1600.0, is 900.0)
root.PJSC037_Hashidate_1940.AB1_Artillery removed in second object
root.PJSC037_Hashidate_1940.AB2_Artillery removed in second object
root.PJSC037_Hashidate_1940.B_Hull removed in second object
root.PJSC037_Hashidate_1940.battleLevel.pvp[0] changed in second object (was 2, is 1)
root.PJSC037_Hashidate_1940.battleLevel.pvp[1] removed in second object
root.PJSC037_Hashidate_1940.battleLevel.pve[0] changed in second object (was 2, is 1)
root.PJSC037_Hashidate_1940.battleLevel.pve[1] removed in second object
root.PJSC037_Hashidate_1940.ShipUpgradeInfo.PJUA003_C1_ART_STOCK.components.artillery[0] changed in second object (was AB1_Artillery, is A_Artillery)
root.PJSC037_Hashidate_1940.ShipUpgradeInfo.PJUA004_C1_ART_TOP removed in second object
root.PJSC037_Hashidate_1940.ShipUpgradeInfo.PJUS003_SUO.components.fireControl[0] changed in second object (was FireControlDefault, is A1_FireControl)
root.PJSC037_Hashidate_1940.ShipUpgradeInfo.PJUH003_UJI_A.components.airDefense[0] changed in second object (was AirDefenseDefault, is A_AirDefense)
root.PJSC037_Hashidate_1940.ShipUpgradeInfo.PJUH003_UJI_A.components.hull[0] changed in second object (was B_Hull, is A_Hull)
root.PJSC037_Hashidate_1940.ShipUpgradeInfo.PJUH003_UJI_A.components.artillery[0] changed in second object (was AB1_Artillery, is A_Artillery)
root.PJSC037_Hashidate_1940.ShipUpgradeInfo.PJUH003_UJI_A.components.artillery[1] removed in second object
root.PJSC037_Hashidate_1940.ShipUpgradeInfo.PJUS002_Suo removed in first object
root.PJSC037_Hashidate_1940.EngineDefault.HitLocationEngine.maxHP changed in second object (was 12400.0, is 5150.0)
root.PJSC037_Hashidate_1940.FireControlDefault removed in second object
root.PJSC037_Hashidate_1940.A1_FireControl removed in first object
root.PJSC037_Hashidate_1940.A_Artillery removed in first object
root.PJSC037_Hashidate_1940.A2_FireControl removed in first object
root.PJSC037_Hashidate_1940.A_AirDefense removed in first object
root.PAGM134_3in50_Mk5_Shield.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD103_Derzky.A_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD103_Derzky.A_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD103_Derzky.A_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD103_Derzky.B_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD103_Derzky.B_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSD103_Derzky.B_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD010_Kagero_1943.C1_127_50.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD010_Kagero_1943.C1_127_50.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD010_Kagero_1943.AB1_127_50.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD010_Kagero_1943.AB1_127_50.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD010_Kagero_1943.AB1_127_50.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.A1_152_50.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B2_152_53.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.B1_152_50.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C1_152_50.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_10.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_9.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC024_Phoenix_1917.C2_152_53.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM076_5in38_Mk30_Mod0.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGGM051_305mm_50_Drh_LC_1909.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJPA050_305mm_AP_APC_Mark_VI.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 6.0)
root.PASB012_North_Carolina_1945.permoflages[0] removed in first object
root.PASB012_North_Carolina_1945.AB1_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB012_North_Carolina_1945.AB1_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB012_North_Carolina_1945.AB1_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_1.index changed in second object (was PARS004, is PARS011)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_1.name changed in second object (was PARS004_Radar_SG, is PARS011_Radar_SK2)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_1.model changed in second object (was content/gameplay/usa/radar/search/ARS004_Radar_SG/ARS004_Radar_SG.model, is content/gameplay/usa/radar/search/ARS011_Radar_SK2/ARS011_Radar_SK2.model)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_1.id changed in second object (was 4290165744, is 4282825712)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_1.nation removed in first object
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_1.otype removed in first object
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_1.stype removed in first object
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_2.index changed in second object (was PARS011, is PARS004)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_2.name changed in second object (was PARS011_Radar_SK2, is PARS004_Radar_SG)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_2.nation removed in second object
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_2.otype removed in second object
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_2.model changed in second object (was content/gameplay/usa/radar/search/ARS011_Radar_SK2/ARS011_Radar_SK2.model, is content/gameplay/usa/radar/search/ARS004_Radar_SG/ARS004_Radar_SG.model)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_2.id changed in second object (was 4282825712, is 4290165744)
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_2.stype removed in second object
root.PASB012_North_Carolina_1945.C_Radars.HP_ARS_3 removed in second object
root.PASB012_North_Carolina_1945.C1_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB012_North_Carolina_1945.C1_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB012_North_Carolina_1945.C1_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRGM004_6in45.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PZSD508_LoYang.permoflages[0] changed in second object (was PZEP508_LoYang, is PCEP107_Permo_Prem_High_lvl)
root.PZSD508_LoYang.A1_Artillery.HP_ZGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PZSD508_LoYang.A1_Artillery.HP_ZGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PZSD508_LoYang.A1_Artillery.HP_ZGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PZSD508_LoYang.A1_Artillery.HP_ZGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PZSD508_LoYang.nativePermoflage changed in second object (was PZEP508_LoYang, is PCEP107_Permo_Prem_High_lvl)
root.PZSD508_LoYang.groupCustom.CN changed in second object (was special, is premium)
root.PJSB010_Nagato_1944.A1_410_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.A1_410_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.A1_410_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.A1_410_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.B1_410_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.B1_410_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.B1_410_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.B1_410_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.C1_410_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.C1_410_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.C1_410_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB010_Nagato_1944.C1_410_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB106_Bayern.A1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB106_Bayern.A1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB106_Bayern.A1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB106_Bayern.A1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB106_Bayern.B1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB106_Bayern.B1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB106_Bayern.B1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB106_Bayern.B1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA001_Shell_203mm_AP_AP_Mk_19.bulletCapNormalizeMaxAngle changed in second object (was 5.6, is 7.0)
root.PASD002_Sampson_1917.AB1_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD002_Sampson_1917.AB1_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD002_Sampson_1917.AB1_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASD002_Sampson_1917.AB1_Artillery.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
